title,text
Canada’s new superiority complex shattered by cursory glance at CBC comments section - The Beaverton,"OTTAWA — In a crushing blow to its upcoming 150th anniversary celebrations, Canada’s emerging sense of comparative superiority to the United States was shattered this week, following a casual look at the comments section of literally any CBC article."
Andrew Scheer pepper sprayed while trying to photobomb wedding - The Beaverton,"OTTAWA – Mere moments after a mischievous smile spread across his face at the sight of a young couple taking wedding photos, a shirtless Andrew Scheer is rolling on the ground, grovelling and squealing in anguish."
This year’s most popular Father’s Day gift just box full of gears and wires - The Beaverton,CANADA – Businesses across the nation are reporting that this year’s most popular Father’s Day gift is a nondescript cardboard box filled with gears and wires of various sizes that retails for $29.95.
MMIW commission insist they are very close to figuring out how office telephones work - The Beaverton,OTTAWA – After several months and over five million dollars spent the commissioners tasked with investigating the tragedy of missing and murdered indigenous women have assured Canadians they are almost done setting up their telecommunications system.
Amazing! Meet the vigilante garbage man who goes after the trash the city won’t touch! - The Beaverton,"In the city of Toronto, it’s estimated that only about 50% of waste is disposed of properly. It is believed this is mainly due to some of it being too hard to reach or too high profile to take out publicly."
National Post columnist retires to spend more time being snide with his family - The Beaverton,"TORONTO – After a long, fulfilling career as a screed-writer for one of Canada’s newspapers of note, columnist Eustace Tibbs has retired to spend more time disparaging his children."
Man wins Facebook argument by being last to post in thread - The Beaverton,"AURORA, ON – A local man is declaring victory after being the last person to post in a heated debate on a news story post to Facebook."
Family raises stolen pint glass to honour man who taught them how to not look drunk - The Beaverton,"OTTAWA – The children of the Cartwright family are raising a stolen pint glass this father’s day, to celebrate the man who taught them how to look not drunk."
Toronto's Trump Hotel renamed the James Comey Resort & Spa - The Beaverton,"TORONTO – In an effort to distance themselves from the controversy surrounding President Donald Trump, the owners of the Trump International Hotel & Tower located at Bay & Adelaide in Toronto have elected to change the name to the James Comey Resort & Spa."
Beaverton Remembers: The 2003 Blackout - The Beaverton, 
TTC plans radical initiative to improve weekend subway service with use of trains - The Beaverton,"TORONTO – At a press conference held at Kennedy Station, TTC CEO Andy Byford announced a bold new strategy to improve weekend subway service by using actual trains instead of buses."
City of Toronto announces street closures for Festival of Street Closures - The Beaverton,"TORONTO – As the 171st annual Festival of Street Closures approaches, the city has released a list of roads that will be inaccessible for the duration of the festival, and also for the rest of the summer due to construction."
Montreal celebrates 50th anniversary of 325th anniversary celebrations - The Beaverton,MONTREAL – Celebrations have already started for Montreal’s 50th anniversary of the 325th birthday celebrations since the city was first colonized by Europeans.
Quebec apologizes to citizens still trapped by 1998 ice storm - The Beaverton,"MONTREAL — A spokesperson for the governments of Montreal and the province of Quebec released official apologies, Sunday, to those still affected by recent weather disturbances, specifically the 1998 ice storm."
Marionette festival showcases this year's top nightmares - The Beaverton,MONTREAL — The 12th annual Puppet Theatre Festival (Festival des Casteliers) has arrived in Montreal to publicly showcase your most deep-seated fears. 
Guide To: Montreal - The Beaverton, 
Christy Clark and John Horgan agree to joint custody of British Columbia - The Beaverton,"VANCOUVER – Following weeks of political uncertainty in British Columbia, with no party winning a majority of seats in its most recent provincial election, Liberal leader Christy Clark and NDP leader John Horgan have finally agreed to joint custody of the province.

“Christy will get the province from Monday to Thursday, and John gets Fridays and the weekend,” said presiding judge Fiona Delaunay after a brutal six-hour hearing. “For Christmas you’ll swap every other year.”

Horgan was originally meant to take full custody of the province, with the backing of Andrew Weaver’s BC Greens, but Clark disputed the decision after deciding that she “wasn’t comfortable with only having visiting rights.”

“I don’t trust John to see after BC’s needs,” said Clark. “The province, and especially the government, are used to a certain standard of living and John simply can’t pull in those kinds of donations on his own. Do you think someone who only won 41 seats can really be a provider?”

Horgan has vehemently disagreed with the ruling, and was furious when Clark claimed that the province would “become confused” by him always having Weaver over, but has accepted it and plans to spend the next few weeks buttering BC up.

“We’re going to have some fun weekends, just me and little ole’ British Columbia,” said Horgan, sipping coffee from a prematurely purchased “World’s Greatest Premier” mug. “We’ll go on nature walks, get some ice cream, and I’ll throw in some subtle jabs about how Christy pays so little in support because she doesn’t love the province.”

Barring any changes in the agreement, BC will continue to reside with both Clark and Horgan until it turns 150 and can legally decide on its own who it wants to stay with."
White smoke billows from BC pot shops indicating a new government has been chosen - The Beaverton,"VANCOUVER – After nearly three weeks of waiting, white smoke has appeared from the many BC medical marijuana dispensaries indicating that a new Premier has been chosen."
Tourists line up to offer their children to famous local sea lion - The Beaverton,"RICHMOND, BC – Hundreds of tourists at Steveston Fisherman’s Wharf offered up their small children to the famous sea lion who performed an impressive grab of a small child on Saturday."
Used Vancouver ballot box now acting as a bachelor pad for $1700/month plus utilities - The Beaverton,"VANCOUVER – An empty ballot box for the provincial riding of Vancouver-Langara is now being offered as a bachelor pad for $1,700 per month plus utilities."
Yukoners generously sever toes to replace stolen one from Dawson City bar - The Beaverton,"DAWSON CITY, YT – In what many are describing as a grotesque act of kindness, hundreds of Yukoners have severed and donated their toes to replace the mummified digit that was stolen by a customer a few days ago."
Local family inadvertently drives across Yukon for entire weekend in search of elusive vacant campsite - The Beaverton,"WHITEHORSE – A Whitehorse family has inadvertently driven 3,700 km across most of the Yukon last weekend searching for a single, vacant campsite without success."
Trump announces tariffs on earthquakes originating from Canada - The Beaverton,"WASHINGTON – In response to the earthquake that originated in northern BC and shook parts of Alaska and Yukon this morning, US President Donald Trump has placed a 24% tariff on all cross-border seismic events."
Whitehorse bylaw officers given light armoured vehicles - The Beaverton,WHITEHORSE – The City of Whitehorse has unveiled new light armoured vehicles for its by-law enforcement members as an added safety precaution when dealing with the public.
REPORT: Jordan Peterson using Patreon money to defend free speech from atop new yacht - The Beaverton,"TORONTO – This week controversial University of Toronto professor Jordan Peterson assured supporters that their Patreon donations will be used in his continuing crusade against political correctness, and has unrelatedly placed the down payment on a 40-foot yacht."
University student working menial summer job unaware it will be permanent job after graduation - The Beaverton,"WINDSOR – A third year University of Windsor student working at a menial job for the summer months is unaware that after she graduates, she will return to the position permanently."
University revolutionary pretty sure intelligentsia won’t get purged this time - The Beaverton,"TORONTO – Two years into his undergraduate degree, local student Sam Taylor is convinced he won’t be one of the ones put up against the wall when the revolution comes."
‘I'm going to business school’ reports man who just gave up - The Beaverton,Toronto – Self identified failure James Octin has decided to go to University of Western Ontario for a Masters in Business Administration after giving up on all other possible options.
Acadia University: The Beaverton University Reviews - The Beaverton,Name: Acadia University
Dalhousie University: The Beaverton University Reviews - The Beaverton,Name: Dalhousie
OCAD University: University Reviews 2014 - The Beaverton,Name: OCAD University
Ryerson University: The Beaverton University Reviews - The Beaverton,Name: Ryerson University
NDP claim Liberals stole their idea to form majority government - The Beaverton,OTTAWA — NDP leader Thomas Mulcair has blasted the incoming Liberal government for stealing his party’s idea to form a strong majority government.
