text,title,keywords,summary
"NEW YORK—Though today he holds a powerful position as head of a leading information technology firm, MergeMedia CEO Gary Lightman told reporters Thursday he, amazingly, worked his way to the very top of the company from humble beginnings as the son of the previous CEO. “A lot of people are surprised when I tell them I started out as a lowly senior vice president right out of college, but it’s true,” said Lightman, 37, who stressed that he had to work every angle to get to where he is today, including being born to the head of the company, being raised by the head of the company, going to the same prestigious business school as the head of company on a legacy scholarship, and being hired at age 22 for a management-level position by the head of the company. “Believe me, I had to sit through a lot of board meetings to get where I am today. If you’d asked me a few years ago if I’d one day be CEO of my dad’s company, I would have said, absolutely not this soon. I thought for sure I’d have to spend a year or two as COO before I made it to the top.” Lightman added that he plans to hold on to his current job until MergeMedia can no longer afford to pay his seven-figure salary, at which point he looks forward to transitioning into retirement.    ",CEO Worked Way Up From Son Of CEO,,
The Official Tumblr for America's Finest News Source.,WASHINGTON—Unable to contain his nausea at the...,,
"WILLOUGHBY, OH—Allowing no window whatsoever for additional conversation to take place, the father of local man Luke Asbury reportedly handed off the phone to Luke’s mother on Sunday immediately after his son wished him a happy Father’s Day. “Wow, he didn’t waste any time—he just said thanks, told me Mom was there if I wanted to speak to her, and then got off the line before I could really answer,” said Asbury, 32, who told reporters that while he in no way expected to chat at length, he did anticipate at least having one or two minutes of small talk about whether his father planned to watch any golf that afternoon. “I don’t think we were even on the line together for 30 seconds before he started wrapping things up. In fact, this might’ve been the earliest he’s ever told me he had to get going. I can’t imagine he’ll be able to top that next year.” At press time, Asbury’s mother put the call on speaker so they could all talk, though his father reportedly remained silent except for what sounded like shuffling out of the room with the newspaper.  He might be a man of few words, but he knows good Scotch Whisky when he sees it. Share Dewar’s 12 Year Old Blended Scotch Whisky with Dad this Father’s Day.",Dad Hands Phone Off To Mom Immediately After Being Wished Happy Father’s Day,,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this...",China Censors Gay Kiss In ‘Alien: Covenant’,,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,5 Things To Know About Trump’s Budget Proposal,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel. “There could be a revolving door made out of peppermint swirl, and then you walk in, and there’s a giant lobby with chocolate fountains, peanut brittle columns, and beautiful rock candy chandeliers,” said Trump into a handheld cassette recorder, replacing over 90 minutes of crucially important conversations that could be used as key evidence in determining whether obstruction of justice occurred with musings about a gumdrop garden and olympic-sized pudding pool. “The ballroom could have a hard caramel floor with ornate wall designs carved into stucco made from nougat, and then red taffy curtains and a Jolly Rancher piano—oh, and all the beds would be made out of marshmallow, and the sheets could be cotton candy.” After realizing his mistake, Trump reportedly became paranoid that if the FBI got access to the tapes, they could steal his idea.",Trump Accidentally Records Over Comey Meeting Tape With Idea For Candy Hotel,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,A Primer on Elon Musk’s Business Initiatives,,
The Official Tumblr for America's Finest News Source.,Visit theonion.com to see more from the standard...,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,Onion Fact Checks: Former FBI Director James Comey’s Senate Testimony,,
The Official Tumblr for America's Finest News Source.,"STERLING, CO—Saying the condiment was really...",,
